lng,lat,name
6.9627498 , 50.6255590 ,"Burger King"
8.9725198 , 48.9229890 ,"Burger King"
9.2190997 , 48.8034690 ,"Burger King"
8.3941197 , 49.0099590 ,"Burger King"
8.3736998 , 49.2268990 ,"Burger King"
8.2174599 , 48.8636690 ,"Burger King"
8.9035598 , 48.6148990 ,"Burger King"
8.5691198 , 49.1365762 ,"Burger King"
9.6331098 , 48.7091890 ,"Burger King"
8.5232198 , 49.2123790 ,"Burger King"
8.4120698 , 49.3354789 ,"Burger King"
8.9275798 , 48.8113290 ,"Burger King"
6.0020099 , 50.8574990 ,"Burger King"
8.5763398 , 49.3164990 ,"Burger King"
7.2261899 , 50.4409289 ,"Burger King"
7.4637699 , 50.4312390 ,"Burger King"
10.1583598 , 47.9957756 ,"Burger King"
6.5209998 , 51.0040590 ,"Burger King"
7.0286298 , 50.7608890 ,"Burger King"
7.8729299 , 50.4541889 ,"Burger King"
8.5618398 , 50.1334977 ,"Burger King"
9.2650898 , 49.0445752 ,"Burger King"
7.1522299 , 50.8979650 ,"Burger King"
6.6509599 , 49.7709227 ,"Burger King"
10.2880297 , 48.4270254 ,"Burger King"
6.7344699 , 49.3181709 ,"Burger King"
9.7371398 , 50.4190703 ,"Burger King"
9.2402998 , 47.9352390 ,"Burger King"
6.6943098 , 50.8817672 ,"Burger King"
9.7740298 , 48.7930896 ,"Burger King"
6.8470198 , 50.9801859 ,"Burger King"
6.1192499 , 51.0600435 ,"Burger King"
9.2109298 , 48.4956762 ,"Burger King"
7.1321099 , 50.5490290 ,"Burger King"
9.0047998 , 47.8598270 ,"Burger King"
7.1574098 , 49.4629543 ,"Burger King"
6.9417599 , 50.6435940 ,"Burger King"
8.5371898 , 48.0457336 ,"Burger King"
8.6093798 , 49.9471920 ,"Burger King"
9.1084097 , 50.2828719 ,"Burger King"
7.8437899 , 48.0304569 ,"Burger King"
8.6599198 , 49.5407645 ,"Burger King"
10.2526198 , 51.0077843 ,"Burger King"
6.4932699 , 49.7285448 ,"Burger King"
7.5081098 , 50.3467741 ,"Burger King"
7.5212899 , 50.3961672 ,"Burger King"
7.8433599 , 47.9991648 ,"Burger King"
8.7458998 , 50.0618173 ,"Burger King"
7.5967898 , 49.2149320 ,"Burger King"
10.3154297 , 50.9914346 ,"Burger King"
8.6807698 , 50.1131798 ,"Burger King"
9.9008498 , 48.3299647 ,"Burger King"
8.2300999 , 49.9696168 ,"Burger King"
9.1738998 , 48.7767645 ,"Burger King"
